F10-047B,"Chapa B.Carb 4,75mm / 3/16""",DIVERSAS MEDIDAS,0,731," R$  2,80 ","0,00",10/11/2018
F10-048,"Chapa B.Carb 9,50mm / 3/8""",,0,2000," R$  4,29 ","0,00",20/11/2018
F10-049,"Chapa Inox 304 0,80mm / POLIDO",1200x2000mm,1,16," R$  25,21 ","0,00",15/11/2018
F10-049A,"Chapa B.Carb 16,00mm / 5/8""",,0,400," R$  3,30 ","0,00",13/11/2018
F10-050,"Chapa B.Carb 44,00mm / 1 3/4""",,0,8," R$  6,30 ","0,00",21/11/2018
F10-050A,"Chapa B.Carb 2,65mm / #12 / FQ",,0,380," R$  3,50 ","0,00",20/11/2018
F10-050A,"Chapa B.Carb 12,70mm / 1/2""",,0,400," R$  3,50 ","0,00",20/11/2018
F10-050B,"Chapa B.Carb 16,00mm / 5/8""",,0,760," R$  3,50 ","0,00",20/11/2018
F10-051,"Chapa Aluminio Liso 1,50mm",1000x2000mm,0,17," R$  19,60 ","0,05",22/11/2018
F10-051,"Chapa Aluminio Liso 1,00mm",1250x3000mm,0,21," R$  19,60 ","0,05",22/11/2018
F10-051,"Chapa Aluminio Xadrez 2,20mm",1000x3000mm,0,155," R$  21,60 ","0,05",22/11/2018
F10-052,"Tubo B.Carb 31,80 X 2,00mm / 1 1/4""",,0,17," R$  6,90 ","0,00",22/11/2018
F10-052,"Tubo B.Carb 50,80 X 2,00mm / 2""",,0,44," R$  6,90 ","0,00",22/11/2018
F10-052,"Tubo B.Carb 50,80 X 3,00mm / 2""",,0,42," R$  4,30 ","0,00",22/11/2018
F10-053,"Tubo B.Carb 50,80 X 3,00mm / 2""",,0,46," R$  6,90 ","0,00",23/11/2018
F10-054,"Chapa Inox 304 2,65mm / DECAPADO",,0,135," R$  17,50 ","0,00",26/11/2018
F10-054A,"Chapa B.Carb 19,00mm / 3/4""",,0,10," R$  11,25 ","0,00",23/11/2018
F10-054B,"Chapa B.Carb 22,40mm / 7/8""",,0,100," R$  6,50 ","0,00",23/11/2018
F10-054B,"Chapa B.Carb 9,50mm / 3/8""",,0,190," R$  6,50 ","0,00",23/11/2018
F10-055,"Chapa Inox 304 0,80mm / ESCOVADO",1200x2000mm,1,16," R$  24,05 ","0,00",28/11/2018
F10-055,"Chapa Inox 304 3,00mm / POLIDO",1200x2000mm,1,61," R$  22,65 ","0,00",28/11/2018
F10-056,"Chapa B.Carb 22,40mm / 7/8""",,0,56," R$  2,50 ","0,00",30/11/2018
